id,subject,grade,difficulty,real_exam,total_ex,priority,title
B_B2_03,biology,7,2,0,0,20.0,动物的主要类群
B_B2_04,biology,7,2,0,0,20.0,保护生物多样性
B_B3_04,biology,8,3,0,0,20.0,生态系统的物质循环
B_B4_07,biology,8,2,0,0,20.0,人的性别决定
B_B5_04,biology,8,2,0,0,20.0,用药与急救
CH_C2_05,chemistry,9,3,0,0,19.0,常见的酸
CH_C3_04,chemistry,9,3,0,0,19.0,化学方程式
CH_C3_06,chemistry,9,3,0,0,19.0,化学式计算
CH_C4_02,chemistry,9,3,0,0,19.0,质量守恒定律
B_B4_04,biology,8,3,0,0,19.0,DNA 是遗传物质
B_B4_05,biology,8,3,0,0,19.0,基因与性状
IT_I1_05,info_tech,7-9,3,0,0,19.0,数据分析与预测
M_G4_ST_06,math,7-9,2,0,0,18.0,中位数/众数/平均数
B_B2_01,biology,7,2,0,0,18.0,生物分类
B_B4_08,biology,8,2,0,0,18.0,遗传病与优生优育
B_B4_09,biology,8,3,0,0,18.0,生命的起源与进化
B_B5_02,biology,8,3,0,0,18.0,免疫与计划免疫
B_B5_03,biology,8,1,0,0,18.0,健康的生活方式
CH_C1_05,chemistry,9,2,0,0,17.0,氧化物
CH_C3_02,chemistry,9,3,0,0,17.0,元素周期表
B_B3_05,biology,8,3,0,0,17.0,生态系统的自我调节
B_B4_02,biology,8,2,0,0,17.0,动物的生殖和发育
B_B6_02,biology,7-8,2,0,0,17.0,植物栽培与动物饲养
B_G79_BS_01,biology,7-9,2,0,0,17.0,细胞的生活
B_G79_BS_04,biology,7-9,2,0,0,17.0,植物的几种组织
B_G79_BD_01,biology,7-9,2,0,0,17.0,无脊椎动物: 腔肠动物
B_G79_BD_03,biology,7-9,2,0,0,17.0,细菌的形态
B_G79_CL_01,biology,7-9,3,0,0,17.0,基因和染色体
CH_C1_01,chemistry,9,1,0,0,16.0,物质的多样性
CH_C2_01,chemistry,9,2,0,0,16.0,金属的物理性质
CH_C2_02,chemistry,9,3,0,0,16.0,金属活动性顺序
CH_C2_03,chemistry,9,3,0,0,16.0,金属的冶炼
CH_C3_05,chemistry,9,2,0,0,16.0,相对原子质量
B_G79_BS_03,biology,7-9,2,0,0,16.0,细胞核
B_G79_BD_02,biology,7-9,2,0,0,16.0,脊椎动物: 鱼类
B_G79_BE_01,biology,7-9,2,0,0,16.0,环境对生物的影响
B_G79_BE_02,biology,7-9,1,0,0,16.0,自然保护区
M_G4_NS_06,math,7-9,1,0,0,15.0,科学记数法
M_G4_NS_11,math,7-9,3,0,0,15.0,二次根式
CH_C2_06,chemistry,9,3,0,0,15.0,常见的碱
CH_C2_07,chemistry,9,3,0,0,15.0,酸碱中和反应
CH_C2_08,chemistry,9,2,0,0,15.0,pH 测定
CH_C2_09,chemistry,9,3,0,0,15.0,常见的盐
CH_C2_10,chemistry,9,3,0,0,15.0,复分解反应
CH_C4_03,chemistry,9,3,0,0,15.0,化学反应的实质
CH_C4_05,chemistry,9,3,0,0,15.0,氧化反应与还原反应
CH_C4_06,chemistry,9,2,0,0,15.0,燃烧与灭火
CH_C5_03,chemistry,9,2,0,0,15.0,化学与材料
CH_C5_04,chemistry,9,2,0,0,15.0,化学与环境
CH_C6_02,chemistry,9,3,0,0,15.0,原子的结构
B_B4_01,biology,8,2,0,0,15.0,植物的有性生殖
CH_G79_PA_01,chemistry,7-9,2,0,0,15.0,金属资源的利用
B_G79_BS_02,biology,7-9,2,0,0,15.0,细胞中的物质
B_G79_BS_05,biology,7-9,2,0,0,15.0,器官
B_G79_CL_02,biology,7-9,3,0,0,15.0,DNA
IT_G79_PG_05,info_tech,7-9,4,0,0,15.0,二叉树
IT_G79_AI_02,info_tech,7-9,3,0,0,15.0,AI 项目实践
M_G4_QR_03,math,7-9,3,0,0,14.0,一元一次不等式
M_G4_GM_29,math,7-9,3,0,0,14.0,锐角三角函数
CH_C6_01,chemistry,9,2,0,0,14.0,分子与原子
B_B6_01,biology,7-8,2,0,0,14.0,模型制作
ML_ML_G9_05,morality_law,9,2,0,0,14.0,少年的担当
CH_G79_CM_01,chemistry,7-9,2,0,0,14.0,分子
CH_G79_PA_02,chemistry,7-9,2,0,0,14.0,水的组成
CH_G79_CR_01,chemistry,7-9,2,0,0,14.0,放热反应和吸热反应
CH_G79_EX_01,chemistry,7-9,2,0,0,14.0,蒸发结晶
B_G79_BS_06,biology,7-9,2,0,0,14.0,系统
B_G79_BD_04,biology,7-9,2,0,0,14.0,细菌的繁殖
ML_G79_RE_03,morality_law,7-9,1,0,0,14.0,全球责任
ML_G79_EC_03,morality_law,7-9,1,0,0,14.0,高质量发展
IT_G79_PG_02,info_tech,7-9,4,0,0,14.0,继承和多态
IT_G79_PG_03,info_tech,7-9,3,0,0,14.0,栈和队列
IT_G79_PG_04,info_tech,7-9,3,0,0,14.0,链表
IT_G79_DA_02,info_tech,7-9,3,0,0,14.0,数据挖掘初步
M_G4_GM_10,math,7-9,3,0,0,13.0,三角形相似
M_G4_GM_20,math,7-9,3,0,0,13.0,弧长与扇形面积
CH_C2_04,chemistry,9,2,0,0,13.0,金属的腐蚀与防护
