id,subject,grade,difficulty,real_exam,total_ex,priority,title
M_G12_QR_06,math,1,1,0,5,0,"找规律(数字)"
M_G2_GM_12,math,3,2,0,5,0,"面积概念"
M_G1_NS_04,math,1,1,0,5,0,"比较符号 = < > 的含义"
M_G2_NS_14,math,3,3,0,5,0,"乘法对加法的分配律"
M_G12_QR_07,math,1,2,0,5,0,"两步计算的实际问题"
M_G1_GM_05,math,1,2,0,5,0,"用简单图形拼图"
M_G79_QR_04,math,7,1,0,5,0,"了解符号二，王，>的含义，会比"
M_G4_GM_06,math,7,2,0,5,0,"等边三角形"
M_G12_IP_01,math,1,1,0,5,0,"数学游戏: 数字接龙"
M_G1_PR_04,math,1,1,0,5,0,"主题活动:我的教室"
M_G12_SP_07,math,1,1,0,5,0,"通过对数据的简单分析"
M_G12_GG_08,math,1,1,0,5,0,"结合生活情境认识角，知道角的大"
M_G1_NS_03,math,1,2,0,5,0,"用算盘表示多位数"
M_G12_SP_03,math,1,1,0,5,0,"数据收集方法: 举手"
M_G1_NS_15,math,1,1,0,5,0,"符号意识与数感"
M_G1_GM_02,math,1,1,0,5,0,"辨认简单平面图形"
M_G1_GM_04,math,1,1,0,5,0,"图形分类"
M_G12_NS_05,math,1,1,0,5,0,"推理意识"
M_G1_PR_03,math,1,1,0,5,0,"主题活动:时间在哪里"
M_G12_QR_04,math,1,1,0,5,0,"用加减法解决简单问题"
M_G4_QR_12,math,7,2,0,5,0,"正比例函数"
M_G2_NS_12,math,3,2,0,5,0,"乘法交换律"
M_G2_GM_14,math,3,2,0,5,0,"面积单位"
M_G1_QR_05,math,1,1,0,5,0,"认识时间单位时/分/秒"
M_G2_NS_11,math,3,2,0,5,0,"加法结合律"
M_G4_GM_28,math,7,3,0,5,0,"图形的相似"
M_G12_GG_04,math,1,1,0,5,0,"几何直观"
M_G79_SP_15,math,7,1,0,5,0,"会计算四分位数"
M_G79_SP_08,math,7,3,0,5,0,"概率的简单计算"
M_G79_SP_07,math,7,3,0,5,0,"标准差"
M_G4_NS_10,math,7,2,0,5,0,"实数"
M_G4_NS_13,math,7,2,0,5,0,"整式:单项式与多项式"
M_G12_NS_02,math,1,1,0,5,0,"等量代换"
M_G12_SP_01,math,1,1,0,5,0,"按数量分类"
M_G1_ST_03,math,1,2,0,5,0,"数据意识"
M_G3_QR_01,math,5,2,0,5,0,"用字母表示数"
M_G1_GM_10,math,1,2,0,5,0,"身体上的尺子"
M_G12_SP_05,math,1,1,0,5,0,"能在简单的实际情境中"
M_G1_QR_04,math,1,1,0,5,0,"认识人民币"
M_G3_QR_04,math,5,2,0,5,0,"解决问题策略:列举"
M_G12_QR_08,math,1,1,0,5,0,"多余条件问题"
M_G1_QR_06,math,1,1,0,5,0,"认识东/南/西/北四个方向"
M_G1_GM_03,math,1,1,0,5,0,"描述图形特征"
M_G2_ST_05,math,3,2,0,5,0,"平均数计算"
M_G1_NS_09,math,1,1,0,5,0,"20 以内加减法口算"
M_G12_SP_06,math,1,1,0,5,0,"经历简单的数据收集和整理、描述"
M_G1_PR_01,math,1,1,0,5,0,"主题活动:数学游戏分享"
M_G4_NS_08,math,7,2,0,5,0,"立方根"
M_G79_NS_01,math,7,2,0,5,0,"平方根"
M_G3_NS_07,math,5,2,0,5,0,"循环小数"
M_G12_GG_09,math,1,1,0,5,0,"认识长度单位干米"
M_G2_NS_13,math,3,2,0,5,0,"乘法结合律"
M_G1_PR_06,math,1,2,0,5,0,"主题活动:数学连环画"
M_G4_QR_08,math,7,2,0,5,0,"函数图象"
M_G12_NS_01,math,1,1,0,5,0,"100 以内数的认识"
M_G12_SP_02,math,1,1,0,5,0,"简单的统计图表"
M_G12_GG_07,math,1,1,0,5,0,"结合生活实际"
M_G4_NS_12,math,7,2,0,5,0,"代数式"
M_G3_NS_08,math,5,2,0,5,0,"负数认识"
M_G1_QR_07,math,1,2,0,5,0,"模型意识"
M_G1_QR_02,math,1,1,0,5,0,"用数和运算解决简单问题"
M_G12_QR_01,math,1,1,0,5,0,"上下前后"
